Device,Trip,dTime
13107,1067,11
17103,1012,11
10155,853,11
13105,3518,11
10575,1415,11
10610,887,11
10574,1059,11
10557,2063,11
10163,1889,11
10173,1456,11
10177,5639,11
13103,11262,11
10173,3132,11
10204,3188,11
10224,3317,11
10177,19547,11
10177,20396,11
10177,21480,11
10616,455,11
17102,564,12
13110,1581,12
13107,1465,12
10181,285,12
10150,1022,12
10586,472,12
10594,973,12
10118,1980,12
10118,1985,12
10132,1541,12
10137,2540,12
10148,1796,12
10190,1461,12
10133,1991,12
10173,2151,12
10159,8155,12
10190,3520,12
10615,7733,12
10615,8218,12
10160,4763,12
10125,3340,12
10176,5994,12
13101,123,13
10135,7,13
10205,1025,13
10164,85,13
10579,98,13
10571,238,13
13107,1576,13
10605,113,13
10205,1475,13
15501,607,13
10615,411,13
10134,1396,13
10605,6770,13
10224,3657,13
10177,18253,13
10594,8978,13
10580,3513,13
10204,115,14
10569,32,14
10204,1201,14
10610,106,14
10582,1673,14
10574,223,14
10605,1368,14
10575,1959,14
10146,1949,14
13105,6269,14
10611,4024,14
13109,9135,14
13105,13237,14
13101,14021,14
10173,3134,14
10132,4323,14
13101,325,15
10137,183,15
13101,1702,15
10138,561,15
10584,309,15
10141,551,15
10116,896,15
13105,2744,15
10582,1652,15
10613,176,15
10568,402,15
10118,1936,15
10575,1743,15
10204,1622,15
10611,1396,15
10173,2740,15
13105,16516,15
10607,4574,15
10515,6543,15
10177,22002,15
10579,90,16
17103,894,16
10134,368,16
10600,916,16
10543,947,16
10510,1093,16
10620,603,16
10580,990,16
10147,1080,16
10153,2456,16
10173,901,16
13107,8243,16
10106,4668,16
10125,2319,16
10605,7424,16
10125,2714,16
10615,9337,16
10515,106,17
10597,32,17
17101,1799,17
10161,1419,17
10571,756,17
10153,3707,17
13109,7853,17
13103,12633,17
10615,10789,17
10597,90,18
10204,1394,18
10133,1916,18
13103,8884,18
10106,5529,18
13101,14778,18
10173,3464,18
10224,4207,18
10177,20931,18
17102,405,19
10136,178,19
10137,380,19
17103,758,19
10582,248,19
13107,1344,19
10582,515,19
10582,593,19
10136,918,19
10159,2230,19
10620,827,19
10204,1698,19
13109,4651,19
10106,3777,19
10612,2175,19
10611,3509,19
10137,4636,19
13103,15138,19
13103,15390,19
10177,9773,19
10594,7928,19
17102,129,20
13000,1120,20
10600,453,20
10580,296,20
10589,767,20
10589,872,20
10589,1018,20
10569,1687,20
10604,912,20
10106,2027,20
17102,2062,20
10205,1800,20
10146,2730,20
13109,9982,20
10224,3861,20
10177,21824,20
17101,928,21
17101,950,21
17101,987,21
